Numero de parejas, Tiempo de ejecución
590, 0.08238890 
590, 0.13648740 
600, 0.09210810 
600, 0.08504930 
600, 0.09042850 
600, 0.07851210 
600, 0.07483110 
600, 0.06824720 
600, 0.06996440 
600, 0.06482480 
600, 0.09701950 
600, 0.07113010 
600, 0.06858260 
600, 0.08250080 
600, 0.06527160 
600, 0.06910790 
600, 0.08812190 
600, 0.06163370 
600, 0.06421770 
600, 0.06076990 
600, 0.06746650 
600, 0.05914280 
610, 0.07228660 
610, 0.07605710 
610, 0.07264110 
610, 0.07479990 
610, 0.06948100 
610, 0.07210680 
610, 0.06783260 
610, 0.06317150 
610, 0.06269600 
610, 0.06301260 
610, 0.06321670 
610, 0.07013840 
610, 0.06426580 
610, 0.06742350 
610, 0.06292330 
610, 0.06487840 
610, 0.06729980 
610, 0.06209360 
610, 0.06467770 
610, 0.07168010 
620, 0.07856700 
620, 0.07332210 
620, 0.07455810 
620, 0.13149090 
620, 0.08550680 
620, 0.10737250 
620, 0.08070250 
620, 0.07568340 
620, 0.07139320 
620, 0.07623600 
620, 0.09462380 
620, 0.09550470 
620, 0.07852710 
620, 0.07883320 
620, 0.08040600 
620, 0.07425360 
620, 0.07465800 
620, 0.07319530 
620, 0.07648950 
620, 0.07500040 
630, 0.07135490 
630, 0.10205840 
630, 0.07574730 
630, 0.07497370 
630, 0.08517900 
630, 0.09869770 
630, 0.08122360 
630, 0.08537650 
630, 0.11584240 
630, 0.08719710 
630, 0.08739400 
630, 0.08722530 
630, 0.12096680 
630, 0.10233080 
630, 0.10378750 
630, 0.09376210 
630, 0.08866780 
630, 0.08150580 
630, 0.07992450 
630, 0.08502060 
640, 0.08522060 
640, 0.08591910 
640, 0.11826820 
640, 0.10747420 
640, 0.08286780 
640, 0.09771320 
640, 0.09311560 
640, 0.08515190 
640, 0.11423520 
640, 0.08157370 
640, 0.08304230 
640, 0.07803970 
640, 0.08551510 
640, 0.08189890 
640, 0.08385070 
640, 0.08151430 
640, 0.08266290 
640, 0.08357990 
640, 0.08687180 
640, 0.07420960 
650, 0.09145680 
650, 0.08176810 
650, 0.08370670 
650, 0.08394510 
650, 0.08380700 
650, 0.08026180 
650, 0.08216560 
650, 0.08309650 
650, 0.08397170 
650, 0.07923040 
650, 0.07937410 
650, 0.10627960 
650, 0.07705630 
650, 0.08259230 
650, 0.07553660 
650, 0.08376990 
650, 0.07269780 
650, 0.07589690 
650, 0.07525940 
650, 0.07731690 
660, 0.08037370 
660, 0.07608280 
660, 0.09057870 
660, 0.10819670 
660, 0.08626140 
660, 0.07519720 
660, 0.07730020 
660, 0.07896550 
660, 0.07307060 
660, 0.07388760 
660, 0.07209770 
660, 0.07889960 
660, 0.07749580 
660, 0.07507180 
660, 0.07423860 
660, 0.07637590 
660, 0.07993970 
660, 0.07101860 
660, 0.07357290 
660, 0.07563590 
670, 0.08735780 
670, 0.08251520 
670, 0.08530110 
670, 0.08396200 
670, 0.08472000 
670, 0.08138100 
670, 0.08926160 
670, 0.07612470 
670, 0.08117370 
670, 0.08481330 
670, 0.08050040 
670, 0.07969870 
670, 0.09397830 
670, 0.08522260 
670, 0.08196360 
670, 0.08065770 
670, 0.08225840 
670, 0.07950320 
670, 0.08004150 
670, 0.08136880 
680, 0.08947790 
680, 0.08677990 
680, 0.08508270 
680, 0.08876430 
680, 0.08750100 
680, 0.08365950 
680, 0.08837900 
680, 0.12139990 
680, 0.10790250 
680, 0.08086740 
680, 0.08234870 
680, 0.08667670 
680, 0.08744800 
680, 0.07925780 
680, 0.08123410 
680, 0.08978850 
680, 0.08885300 
680, 0.07980470 
680, 0.08607840 
680, 0.08392590 
690, 0.10493890 
690, 0.08039620 
690, 0.08635790 
690, 0.09769000 
690, 0.09954620 
690, 0.09075170 
690, 0.08040320 
690, 0.08555680 
690, 0.07862070 
690, 0.07740290 
690, 0.07704030 
690, 0.09280790 
690, 0.09437330 
690, 0.09128920 
690, 0.10506980 
690, 0.10559740 
690, 0.08856900 
690, 0.08884950 
690, 0.09883540 
690, 0.08953270 
700, 0.10491650 
700, 0.10355650 
700, 0.11887120 
700, 0.09839930 
700, 0.09579680 
700, 0.09882790 
700, 0.12488680 
700, 0.12585440 
700, 0.10479600 
700, 0.09255390 
